organism,pubmed_plastic_count,pubmed_total_count
Mycobacterium sp.,486.0,695.0
Mycosphaerella arachidis,1.0,4.0
Paracoccus sp.,163.0,206.0
Paractinoplanes deccanensis,7.0,15.0
Paractinoplanes durhamensis,0.0,0.0
Paractinoplanes polyasparticus,0.0,0.0
Curvularia senegalensis,1.0,8.0
Coprinopsis lagopus,0.0,1.0
Cordyceps confragosa,2.0,8.0
Cosmospora sp.,2.0,4.0
Colletotrichum theobromicola,3.0,13.0
Collimonas arenae,,6.0
Collimonas pratensis,4.0,12.0
Parathyridaria sp.,0.0,2.0
Dactylosporangium aurantiacum,14.0,23.0
Dactylosporangium matsuzakiense,7.0,8.0
Dactylosporangium siamense,0.0,2.0
Dactylosporangium sp.,13.0,
Dactylosporangium sucinum,3.0,3.0
Dactylosporangium vinaceum,0.0,2.0
Cunninghamella sp.,14.0,26.0
Curvularia protuberata,2.0,5.0
Penicillium aurantiogriseum,,93.0
Penicillium chermesinum,11.0,23.0
Paraglaciecola sp.,1.0,3.0
Parasarocladium sp.,0.0,4.0
Cladosporium asperulatum,1.0,3.0
Cladosporium basi-inflatum,1424.0,4682.0
Cyathus pallidus,1.0,1.0
Cytospora ceratosperma,0.0,2.0
Penicillium echinulatum,,33.0
Penicillium glabrum,36.0,84.0
Penicillium granulatum,10.0,17.0
Penicillium griseofulvum,73.0,131.0
Peethambara spirostriata,,2.0
Pelobacter venetianus,5.0,5.0
Pelosinus fermentans,,13.0
Penicillium adametzii,6.0,13.0
Cladosporium xanthochromaticum,0.0,
Cladosporium xylophilum,1.0,2.0
Clonostachys buxi,1.0,1.0
Clonostachys pnagiana,188.0,420.0
Cladosporium funiculosum,2.0,2.0
Cladosporium montecillanum,0.0,1.0
Cladosporium perangustum,2.0,7.0
Cladosporium ramotenellum,,6.0
Phellinus robustus,3.0,4.0
Penicillium variabile,15.0,26.0
Perenniporia martia,0.0,2.0
Burkholderia vietnamiensis,92.0,144.0
Clonostachys sp.,13.0,28.0
Clostridium hathewayi,24.0,43.0
Cobetia sp.,20.0,29.0
Cochliobolus sp.,,16.0
Phlebia radiata,78.0,87.0
Phormidium lucidum,1.0,2.0
Photobacterium ganghwense,7.0,9.0
Photorhabdus luminescens,371.0,593.0
Phaeophleospora eucalypticola,1.0,
Phaeosphaeria oryzae,1.0,2.0
Phaeosphaeria spartinicola,4.0,6.0
Phellinus apiahynus,430.0,818.0
Phytohabitans aurantiacus,0.0,2.0
Phytohabitans houttuyneae,0.0,4.0
Phytohabitans rumicis,,3.0
Picochlorum maculatum,3.0,4.0
Piptoporus betulinus,21.0,48.0
Piscinibacter gummiphilus,2.0,2.0
Plantactinospora alkalitolerans,0.0,
Plantactinospora endophytica,0.0,4.0
Pseudomonas stutzeri,1088.0,1489.0
Pseudomonas subflava,0.0,1.0
Pseudomonas syringae,4310.0,6553.0
Pseudomonas tuomurensis,74583.0,158838.0
Pseudomonas otitidis,27.0,53.0
Pseudomonas pachastrellae,4.0,10.0
Pseudomonas plecoglossicida,165.0,274.0
Pseudomonas mandelii,,69.0
Porodaedalea pini,3.0,7.0
Priestia aryabhattai,49.0,76.0
Promicromonospora panici,,2.0
Pleospora leptosphaerulinoides,14.0,64.0
Pleurostoma richardsiae,4.0,17.0
Pleurotus pulmonarius,104.0,171.0
Podospora anserina,503.0,779.0
Pseudomonas rhodesiae,,43.0
Pseudomonas amygdali,16.0,36.0
Pseudomonas azotoformans,26.0,61.0
Pseudomonas beteli,7.0,12.0
Propionispora sp.,1.0,1.0
Proteus vulgaris,1173.0,2963.0
Pseudoalteromonas lipolytica,17.0,28.0
Polyporus arcularius,9.0,15.0
Polyporus tuberaster,0.0,4.0
Cladosporium rectoides,0.0,
Citrobacter freundii,1279.0,2773.0
Citrobacter sedlakii,19.0,
Cladosporium allicinum,1.0,7.0
Cladosporium antropophilum,1424.0,4682.0
Pestalotiopsis microspora,41.0,64.0
Pestalotiopsis thailandica,0.0,1.0
Pseudomassariosphaeria bromicola,0.0,1.0
Catellatospora bangladeshensis,0.0,3.0
Catellatospora methionotrophica,0.0,3.0
Cellulomonas iranensis,2.0,6.0
Burkholderia aenigmatica,1.0,3.0
Burkholderia ambifaria,68.0,111.0
Burkholderia gladioli,178.0,359.0
Pseudomonas indica,,11.0
Rheinheimera sp.,16.0,30.0
Chaetomium sp.,61.0,123.0
Chaetopsina pnagiana,1.0,7.0
Chitinimonas sp.,,11.0
Caldimonas taiwanensis,4.0,5.0
